Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AWF,Alliance World Dollar Government Fund II,10.63,$916.62M,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,30.13,$2.9B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,23.1,$792.86M,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.15,$167.07M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,4.83,$436.5M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,26.4594,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,4.28,$325.78M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,26.1425,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,27.7,$286.8M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",12.27,$1.16B,2005,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj
NIE,AllianzGI Equity & Convertible Income Fund,25.99,$720.16M,2007,n/a,n/a,https://old.nasdaq.com/symbol/nie
ALSN,"Allison Transmission Holdings, Inc.",37.87,$4.27B,2012,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),91.15,$28.47B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all
ALL^B,Allstate Corporation (The),25.93,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^b
ALL^G,Allstate Corporation (The),27.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),27.17,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^h
ALL^I,Allstate Corporation (The),26.74,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^i
ALLY,Ally Financial Inc.,27.9,$10.43B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,26.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ally^a
PINE,"Alpine Income Property Trust, Inc.",13.64,$101.74M,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pine
ALTG,Alta Equipment Group Inc.,8.24,$243.17M,2019,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/altg
ALTG.WS,Alta Equipment Group Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/altg.ws
ALIN^A,Altera Infrastructure L.P.,18.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^a
ALIN^B,Altera Infrastructure L.P.,19.7001,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^b
ALIN^E,Altera Infrastructure L.P.,19.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^e
AYX,"Alteryx, Inc.",115.42,$7.64B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",29.44,$16.44B,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus
ATAC.U,Altimar Acquisition Corporation,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/atac.u
MO,Altria Group,37.27,$69.26B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,5.91,$4.02B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ALUS,Alussa Energy Acquisition Corp.,9.93,$356.86M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/alus
ALUS.U,Alussa Energy Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/alus.u
ALUS.WS,Alussa Energy Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alus.ws
AMBC,"Ambac Financial Group, Inc.",12.75,$584.07M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBC.WS,"Ambac Financial Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ambc.ws
ABEV,Ambev S.A.,2.48,$39.02B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",2.49,$309.56M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,11.52,$18.07B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,81.85,$20.22B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",43,$2.06B,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",13.1501,$43.66B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",13.33,$44.26B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",20.96,$1.26B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",7.35,$832.56M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,39.06,$5.38B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",14.52,$2.41B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEL,American Equity Investment Life Holding Company,23.93,$2.2B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,25.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AEL^B,American Equity Investment Life Holding Company,26.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^b
AXP,American Express Company,96.69,$77.85B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",77.47,$6.76B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",27.53,n/a,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",27.15,$27.1M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGD,"American Financial Group, Inc.",27.52,n/a,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgd
AFGE,"American Financial Group, Inc.",27.12,n/a,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",25.37,n/a,2015,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,30.57,$9.67B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,25.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,25.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,25.81,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,26.06,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,26.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^h
AIG,"American International Group, Inc.",33.16,$28.57B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",27.61,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig^a
ARL,"American Realty Investors, Inc.",8.89,$142.21M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",11.49,$396.29M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara
AWR,American States Water Company,72.96,$2.69B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),242.15,$107.57B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,13.35,$402.89M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd
AWK,American Water Works,161.13,$29.2B,2008,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk
AMWL,American Well Corporation,30.41,$6.99B,2020,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/amwl
COLD,Americold Realty Trust,37.33,$7.6B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",169.78,$20.14B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),103.95,$21.22B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
AMN,AMN Healthcare Services Inc,63.05,$2.96B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn
AMRX,"Amneal Pharmaceuticals, Inc.",4.13,$609.34M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx
AP,Ampco-Pittsburgh Corporation,3.96,$72.5M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap
APH,Amphenol Corporation,120.34,$36B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph
AXR,AMREP Corporation,6.15,$45.84M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr
HKIB,AMTD International Inc.,6.75,$1.66B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hkib
AME,"AMTEK, Inc.",110.32,$25.38B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ame
PLAN,"Anaplan, Inc.",62.52,$8.74B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,17.7,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dyfn
FINS,Angel Oak Financial Strategies Income Term Trust,16.85,$256.61M,2019,n/a,n/a,https://old.nasdaq.com/symbol/fins
AU,AngloGold Ashanti Limited,27.56,$11.46B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,56.68,$111.73B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/bud
NLY,Annaly Capital Management Inc,7.22,$10.13B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nly
NLY^D,Annaly Capital Management Inc,25.46,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,22.27,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,21.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^g
NLY^I,Annaly Capital Management Inc,22.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^i
AM,Antero Midstream Corporation,5.51,$2.63B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am
AR,Antero Resources Corporation,3.28,$881.24M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",313.32,$77.92B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm
ANH,Anworth Mortgage Asset  Corporation,1.7,$168.52M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,23.37,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,17.68,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,21.29,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^c
AON,Aon plc,190.35,$43.52B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
AIV,Apartment Investment and Management Company,25.86,$3.85B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv
APG,APi Group Corporation,14.64,$2.48B,2020,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/apg
ARI,Apollo Commercial Real Estate Finance,8.64,$1.21B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
APO,"Apollo Global Management, Inc",41.66,$9.53B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, Inc",26.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, Inc",26.9,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^b
AFT,Apollo Senior Floating Rate Fund Inc.,12.99,$202.29M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft
APSG.U,Apollo Strategic Growth Capital,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/apsg.u
AIF,Apollo Tactical Income Fund Inc.,12.92,$186.88M,2013,n/a,n/a,https://old.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",10.76,$2.4B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",67.03,$2.6B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",123.6,$8B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr
APTV,Aptiv PLC,104.48,$28.21B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv
APTV^A,Aptiv PLC,127.46,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aptv^a
ARMK,Aramark,30.65,$7.75B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,12.93,$1.5B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.9,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.63,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ARC,"ARC Document Solutions, Inc.",1.29,$56.56M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc
MT,ArcelorMittal,14.9,$15.76B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt
MTCN,ArcelorMittal,37.39,n/a,2020,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mtcn
ARCH,"Arch Resources, Inc.",29.63,$448.81M,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,48.27,$26.86B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",6.38,$975.71M,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc
ARNC,Arconic Corporation,25.35,$2.76B,2020,n/a,n/a,https://old.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,4.34,$899.52M,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco
ACA,"Arcosa, Inc.",49.27,$2.38B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
RCUS,"Arcus Biosciences, Inc.",20.27,$1.32B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rcus
ARD,Ardagh Group S.A.,17.04,$4.03B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard
ASC,Ardmore Shipping Corporation,2.76,$91.87M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,25.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/afc
